COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Vivendi,Peer group,Violent genre
.HACK: INFECTION,1,0,0,1,.HACK,,BANDAI ,CYBERCONNECT2,RPG,RPG,01-Feb-03,2003,2,T,NO,No,No,Non violent
.HACK: MUTATION,1,0,0,1,.HACK,,BANDAI ,CYBERCONNECT2,RPG,RPG,01-May-03,2003,5,T,NO,No,No,Non violent
.HACK: OUTBREAK,1,0,0,1,.HACK,,BANDAI ,CYBERCONNECT2,RPG,RPG,01-Sep-03,2003,9,T,NO,No,No,Non violent
.HACK: QUARANTINE,1,0,0,1,.HACK,,BANDAI ,CYBERCONNECT2,RPG,RPG,01-Jan-04,2004,1,T,NO,No,No,Non violent
1080 AVALANCHE,1,1,0,0,1080 SNOWBOARDING,,NINTENDO OF AMERICA,NINTENDO SOFTWARE TECHNOLOGY,SPORTS,EXTREME SPORTS,01-Dec-03,2003,12,E,NO,No,No,Non violent
18 WHEELER PRO TRUCKER,2,1,0,1,,,ACCLAIM  ,ACCLAIM STUDIOS,RACING,ACTION ORIENTED RACING,01-Nov-01,2001,2,E,NO,No,No,Non violent
2002 FIFA WORLD CUP,3,1,1,1,FIFA,WCS (WORLD CUP SOCCER),ELECTRONIC ARTS,ELECTRONIC ARTS,SPORTS,SOCCER,01-Apr-02,2002,4,E,NO,No,Yes,Non violent
4X4 EVO 2,2,1,1,0,4X4 EVO,,TAKE 2 INTERACTIVE ,TERMINAL REALITY,RACING,ACTION ORIENTED RACING,01-Oct-01,2001,9,E,NO,No,No,Non violent
4X4 EVOLUTION,1,0,0,1,4X4 EVO,,TAKE 2 INTERACTIVE ,TERMINAL REALITY,RACING,ACTION ORIENTED RACING,01-Mar-01,2001,3,E,NO,No,No,Non violent
ACE COMBAT 4,1,0,0,1,ACE COMBAT,,NAMCO,NAMCO,FLIGHT,AIR COMBAT SIMULATIONS,01-Oct-01,2001,10,E,NO,No,No,Non violent
ACE COMBAT 5: THE UNSUNG WAR,2,0,0,2,ACE COMBAT,,NAMCO,NAMCO,FLIGHT,AIR COMBAT SIMULATIONS,01-Oct-04,2004,10,T,NO,No,No,Non violent
ACTIVISION ANTHOLOGY,1,0,0,1,,,ACTIVISION,CONTRABAND ENTERTAINMENT,ARCADE,CLASSIC ARCADE,01-Nov-02,2002,11,E,NO,No,No,Non violent
ADV OF COOKIE & CREAM,1,0,0,1,,,AGETEC,FROMSOFTWARE,ACTION,PLATFORM/SCROLLING CHARACTER,01-Apr-01,2001,4,E,NO,No,No,Violent
AERO ELITE: COMBAT,1,0,0,1,,,SEGA OF AMERICA,AM2,FLIGHT,AIR COMBAT SIMULATIONS,01-Mar-03,2003,3,E,NO,No,No,Non violent
AGASSI TENNIS,1,0,0,1,,PRO TENNIS,DREAMCATCHER INTERACTIVE,DREAMCATCHER,SPORTS,TENNIS,01-Aug-03,2003,8,E,NO,No,No,Non violent
AGGRESSIVE INLINE,3,1,1,1,,,ACCLAIM  ,Z-AXIS,SPORTS,EXTREME SPORTS,01-May-02,2002,5,T,NO,No,No,Non violent
AIRBLADE,1,0,0,1,,,NAMCO,CRITERION STUDIOS,SPORTS,EXTREME SPORTS,01-Jan-02,2002,1,T,NO,No,No,Non violent
AIRFORCE DELTA STORM,1,0,1,0,AIR FORCE DELTA,,KONAMI DIGITAL ENT.,KCE STUDIOS,FLIGHT,AIR COMBAT SIMULATIONS,01-Nov-01,2001,11,E,NO,No,No,Non violent
AIRFORCE DELTA STRIKE,1,0,0,1,AIR FORCE DELTA,,KONAMI DIGITAL ENT.,KONAMI,FLIGHT,AIR COMBAT SIMULATIONS,01-Feb-04,2004,2,T,NO,No,No,Non violent
ALIAS,2,0,1,1,,OTHER,ACCLAIM  ,ACCLAIM STUDIOS,ACTION,GENERAL ACTION,01-Apr-04,2004,4,T,NO,No,No,Violent
