COMB Title,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M)
.HACK: INFECTION,76.59999847,42.00,0.00,0.00,2,15,0,28,341506,14.08,92.09%,38.00,402687,15.29
.HACK: MUTATION,74.09999847,44.00,0.00,0.00,2,15,0,28,166288,7.14,92.92%,41.00,185581,7.68
.HACK: OUTBREAK,67.90000153,48.00,0.00,0.00,2,15,0,28,100828,4.24,91.74%,40.00,115461,4.63
.HACK: QUARANTINE,65,41.00,14.08,25.46,0,20,3,44,67820,2.75,95.65%,40.00,72144,2.88
1080 AVALANCHE,74.59999847,49.00,0.00,0.00,0,6,0,15,114732,4.89,86.49%,37.00,154490,5.66
18 WHEELER PRO TRUCKER,54.39999962,43.50,0.00,0.00,0,26,0,8,134506,5.08,73.79%,28.50,231684,6.88
2002 FIFA WORLD CUP,74.40000153,48.33,14.51,23.87,3,14,3,5,298020,14.33,97.20%,44.67,318928,14.74
4X4 EVO 2,58.89999962,50.00,0.00,0.00,0,6,0,4,158756,5.26,79.64%,26.50,227735,6.61
4X4 EVOLUTION,65.5,43.00,0.00,0.00,0,23,0,4,88202,3.70,82.92%,35.00,127078,4.47
ACE COMBAT 4,84.69999695,51.00,0.00,0.00,0,3,0,0,680201,28.24,59.54%,29.00,1639304,47.43
ACE COMBAT 5: THE UNSUNG WAR,84.19999695,89.00,56.48,56.48,2,4,2,18,341673,18.03,76.66%,89.00,450012,23.52
ACTIVISION ANTHOLOGY,77.59999847,30.00,0.00,0.00,0,0,0,2,138042,2.78,77.40%,18.00,194514,3.59
ADV OF COOKIE & CREAM,78.30000305,32.00,0.00,0.00,0,8,0,1,45311,1.31,71.45%,25.00,72381,1.84
AERO ELITE: COMBAT,65.90000153,48.00,0.00,0.00,0,2,0,6,25760,1.23,92.47%,46.00,28766,1.33
AGASSI TENNIS,56,20.00,0.00,0.00,0,0,0,4,32096,0.63,90.86%,19.00,35575,0.69
AGGRESSIVE INLINE,86.03333028,40.67,0.00,0.00,0,37,0,24,139559,5.03,81.99%,28.33,208945,6.14
AIRBLADE,72.90000153,23.00,0.00,0.00,0,16,0,14,75408,1.76,86.57%,22.00,91763,2.03
AIRFORCE DELTA STORM,66.5,50.00,0.00,0.00,0,0,0,0,63410,3.18,69.34%,42.00,108447,4.58
AIRFORCE DELTA STRIKE,65.19999695,30.00,0.00,0.00,0,2,0,9,33079,0.99,87.94%,28.00,39947,1.13
ALIAS,63.70000076,31.50,0.00,0.00,0,61,0,140,39330,1.24,82.89%,26.50,56697,1.49
ALIEN HOMINID,79.35000229,30.00,0.00,0.00,0,41,0,77,24060,0.72,36.92%,25.50,75359,1.94
ALIENS VS PREDATOR,63.44999886,39.50,0.00,0.00,0,3,0,5,110336,4.22,89.53%,37.50,125346,4.71
ALL STAR BASEBALL 2002,70.75,49.50,0.00,0.00,0,2,0,0,320260,14.12,94.53%,39.50,361723,14.94
ALL STAR BASEBALL 2003,79.16666667,45.00,14.12,14.12,0,8,2,4,495486,22.77,95.32%,41.00,556378,23.89
ALL STAR BASEBALL 2004,76.96666718,44.00,22.77,36.89,0,11,5,15,264072,11.92,95.18%,40.67,293544,12.53
ALL STAR BASEBALL 2005,74.45000076,38.00,10.18,39.84,0,7,5,23,197399,7.52,95.99%,37.00,209914,7.83
ALTER ECHO,65.40000153,26.50,0.00,0.00,0,64,0,74,52997,0.87,79.54%,15.00,75748,1.09
AMAZING ISLAND,58.29999924,39.00,0.00,0.00,0,1,0,4,24201,0.95,82.67%,35.00,33124,1.15
AMERICAN CHOPPER,47.39999962,30.00,0.00,0.00,0,24,0,98,183220,5.45,55.65%,28.00,345308,9.80
AMERICAN IDOL,51.09999847,35.00,0.00,0.00,0,10,0,8,175320,4.54,90.75%,24.00,211306,5.00
AMF BOWLING 2004,44.40000153,21.00,0.00,0.00,0,0,0,0,129449,1.66,80.87%,12.00,165052,2.06
AMPED 2,82.19999695,48.00,13.54,13.54,0,5,1,18,130544,5.20,90.77%,38.00,151909,5.73
AMPED: SNOWBOARDING,81.69999695,49.00,0.00,0.00,0,6,0,0,346011,13.54,78.31%,31.00,554726,17.29
AMPLITUDE,85.5,36.00,0.00,0.00,0,10,0,8,48256,1.68,82.65%,31.00,65864,2.03
ANIMAL CROSSING,86.69999695,50.00,0.00,0.00,0,1,0,0,548450,25.60,66.37%,36.00,1062011,38.57
ANTZ EXTREME RACING,42.75,23.00,0.00,0.00,0,25,0,32,19568,0.40,82.14%,20.00,24564,0.49
APE ESCAPE 2,80.80000305,34.00,0.00,0.00,0,16,0,25,89125,2.85,95.00%,30.00,98688,3.00
APE ESCAPE: PUMPED,63.20000076,40.00,2.85,2.85,0,25,1,42,4314,0.17,36.18%,23.00,20902,0.47
APEX,74.5,40.00,0.00,0.00,0,20,0,15,74185,2.96,95.93%,38.00,80472,3.08
AQUA AQUA,72.69999695,24.00,0.00,0.00,0,0,0,2,23161,0.55,68.64%,19.00,41436,0.80
